Cset,Phase,ConclusionRaw,Difficulty,Comparability,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
KQ1445,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1445,KQ,1,1,1,A,,A:A,P,,P,20190508R_4,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1454,Primary (Baseline),ID,Diff,LowRepro,Match,KQ1454,KQ,2,2,2,B,,A:B,U,,U,20190507C_0,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
KQ1549,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ1549,KQ,1,1,1,B,,A:B,G,,G,20190416E_1,,,"Diff Model, JHP",038,038
KQ1592,Primary (Baseline),ID,Easy,HiRepro,Match,KQ1592,KQ,1,1,1,B,,A:B,G,,G,20190618O_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1774,Primary (Baseline),ID,Easy,ModRepro,Match,KQ1774,KQ,3,3,3,B,,A:B,P,,P,20190508R_0,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ1949,Primary (Baseline),LeanExcl,Diff,HiRepro,NonMatch,KQ1949,KQ,3,3,3,A,,A:A,P,,P,20190412E_4,,,"Same Model, Diff Sess, JHP",038,038
KQ2111,Primary (2nd assignments),ID,Norm,ModRepro,Match,KQ2111,KQ,3,4,4,A,,A:A,P,,P,20190508J_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ2111,Primary (Baseline),ID,Diff,LowRepro,Match,KQ2111,KQ,3,4,4,A,,A:A,P,,P,20190508J_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ2656,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ2656,KQ,3,3,3,B,,A:B,G,,G,20190501D_0,,,"Diff Make, FMJ",038,038
KQ2663,Primary (Baseline),LeanID,VDiff,LowRepro,Match,KQ2663,KQ,3,4,4,D,,A:D,B,,B,20190621A_1,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ2762,Primary (Baseline),LeanExcl,Diff,HiRepro,NonMatch,KQ2762,KQ,2,2,2,A,,A:A,P,,P,20190416H_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ2803,Primary (Baseline),Excl,Easy,HiRepro,NonMatch,KQ2803,KQ,1,1,1,B,,A:B,G,,G,20190618A_0,,,"Diff Make, FMJ",9ML,9ML
KQ3149,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ3149,KQ,1,1,1,A,,A:A,P,,P,20190508J_2,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ3189,Primary (Baseline),ID,VEasy,HiRepro,Match,KQ3189,KQ,3,4,4,B,,A:B,G,,G,20190618C_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ3383,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3383,KQ,2,2,2,A,,A:A,P,,P,20190222C_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3639,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ3639,KQ,3,3,3,B,,A:B,G,,G,20190415A_3,,,"Diff Model, FMJ",038,038
KQ3641,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ3641,KQ,3,3,3,B,,A:B,G,,G,20190507E_1,50.0,68.0,"Same Model, Diff Sess, FMJ",040,040
KQ3652,Primary (2nd assignments),ID,Norm,HiRepro,Match,KQ3652,KQ,3,4,4,A,,A:A,P,,P,20190404B_0,40.0,58.0,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3652,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3652,KQ,3,4,4,A,,A:A,P,,P,20190404B_0,40.0,58.0,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3706,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ3706,KQ,2,3,3,B,,A:B,G,,G,20190117B_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ3792,Primary (Baseline),Excl,Diff,LowRepro,NonMatch,KQ3792,KQ,1,1,1,B,,A:B,G,,G,20190415M_2,,,"Diff Make, FMJ",038,038
KQ3833,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ3833,KQ,2,2,2,A,,A:A,P,,P,20190416A_2,,,"Same Model, Diff Sess, FMJ",038,038
KQ3957,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ3957,KQ,2,2,2,B,,A:B,G,,G,20190501E_4,,,"Same Model, Diff Sess, JHP",038,038
KQ3975,Primary (Baseline),Insuff,Diff,HiRepro,Inconclusive,KQ3975,KQ,1,1,1,B,,A:B,G,,G,20190508H_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4186,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4186,KQ,3,4,4,A,,A:A,P,,P,20190416G_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ4230,Primary (Baseline),LeanID,VDiff,ModRepro,Match,KQ4230,KQ,1,1,3,B,,A:B,G,,G,20190621A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4234,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ4234,KQ,2,2,2,B,,A:B,G,,G,20190621A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4243,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ4243,KQ,3,3,3,A,,A:A,P,,P,20190618J_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4249,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ4249,KQ,2,2,2,B,,A:B,G,,G,20190415M_1,,,"Diff Model, FMJ",038,038
KQ4252,Primary (2nd assignments),LeanExcl,Diff,ModRepro,NonMatch,KQ4252,KQ,3,4,4,B,,A:B,G,,G,20190416H_3,,,"Diff Model, FMJ",038,038
KQ4252,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4252,KQ,3,4,4,B,,A:B,G,,G,20190416H_3,,,"Diff Model, FMJ",038,038
KQ4264,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4264,KQ,3,3,3,B,,A:B,G,,G,20190507K_1,,,"Same Model, Diff Sess, JHP",040,040
KQ4401,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4401,KQ,3,3,3,B,,A:B,G,,G,20190507J_1,,,"Same Model, Diff Sess, FMJ",040,040
KQ4502,Primary (Baseline),ID,Diff,LowRepro,Match,KQ4502,KQ,3,3,3,B,,A:B,G,,G,20190508H_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ4541,Primary (Baseline),ID,Easy,HiRepro,Match,KQ4541,KQ,3,3,3,B,,A:B,U,,U,20190313A_3,10.0,28.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ4590,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4590,KQ,2,2,2,B,,A:B,G,,G,20190507K_4,30.0,48.0,"Same Model, Same Sess, JHP",040,040
KQ4635,Primary (Baseline),Excl,Diff,HiRepro,NonMatch,KQ4635,KQ,3,3,3,A,,A:A,P,,P,20190501F_2,,,"Diff Model, JHP",038,038
KQ4668,Primary (Baseline),Excl,VEasy,LowRepro,NonMatch,KQ4668,KQ,1,1,1,A,,A:A,P,,P,20190621E_2,,,"Diff Make, JHP",9ML,9ML
KQ4776,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4776,KQ,3,4,4,A,,A:A,P,,P,20190415E_2,,,"Diff Make, JHP",038,038
KQ4845,Primary (2nd assignments),LeanExcl,Diff,HiRepro,NonMatch,KQ4845,KQ,3,4,4,B,,A:B,G,,G,20190618D_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4845,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4845,KQ,3,4,4,B,,A:B,G,,G,20190618D_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4846,Primary (Baseline),Insuff,Diff,HiRepro,Inconclusive,KQ4846,KQ,3,3,3,B,,A:B,G,,G,20190412T_2,,,"Diff Make, FMJ",038,038
KQ1014,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1014,KQ,3,3,3,B,,A:B,G,,G,20190415G_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ1082,Primary (Baseline),ID,Norm,ModRepro,Match,KQ1082,KQ,3,3,3,B,,A:B,G,,G,20190621K_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1135,Primary (Baseline),ID,Diff,LowRepro,Match,KQ1135,KQ,4,4,4,B,,A:B,G,,G,20190501Q_4,20.0,38.0,"Same Model, Same Sess, FMJ",040,040
KQ1234,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1234,KQ,3,3,3,B,,A:B,G,,G,20190507E_4,,,"Same Model, Diff Sess, FMJ",040,040
KQ1297,Primary (Baseline),LeanID,Easy,HiRepro,Match,KQ1297,KQ,3,4,4,B,,A:B,G,,G,20190222C_2,0.0,18.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ1346,Primary (2nd assignments),Insuff,Norm,ModRepro,Inconclusive,KQ1346,KQ,3,4,4,B,,A:B,G,,G,20190501A_1,,,"Diff Make, FMJ",038,038
KQ1346,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1346,KQ,3,4,4,B,,A:B,G,,G,20190501A_1,,,"Diff Make, FMJ",038,038
KQ1796,Primary (Baseline),Excl,VEasy,HiRepro,NonMatch,KQ1796,KQ,3,3,3,B,,A:B,G,,G,20190508I_1,,,"Diff Model, JHP",9ML,9ML
KQ1855,Primary (Baseline),ID,Diff,LowRepro,Match,KQ1855,KQ,3,3,3,A,,A:A,P,,P,20190508R_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ1930,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1930,KQ,3,3,3,B,,A:B,G,,G,20190508A_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2053,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2053,KQ,3,3,3,A,,A:A,P,,P,20190501B_1,,,"Diff Make, FMJ",038,038
KQ2084,Primary (Baseline),ID,Easy,ModRepro,Match,KQ2084,KQ,3,3,3,A,,A:A,P,,P,20190416E_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
KQ2111,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ2111,KQ,3,4,4,A,,A:A,P,,P,20190508J_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ2117,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ2117,KQ,3,3,3,A,,A:A,P,,P,20190501E_2,,,"Diff Model, JHP",038,038
KQ2243,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2243,KQ,3,3,3,A,,A:A,P,,P,20190508N_0,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ2302,Primary (Baseline),Excl,VEasy,LowRepro,NonMatch,KQ2302,KQ,3,3,3,C,,A:C,G,,G,20190621D_1,,,"Diff Make, FMJ",9ML,9ML
KQ2329,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ2329,KQ,3,3,3,B,,A:B,G,,G,20190412L_4,,,"Diff Make, JHP",038,038
KQ2337,Primary (Baseline),ID,Easy,ModRepro,Match,KQ2337,KQ,3,3,3,B,,A:B,G,,G,20190412R_4,10.0,28.0,"Same Model, Same Sess, JHP",038,038
KQ2352,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2352,KQ,3,3,3,B,,A:B,G,,G,20190412T_2,,,"Diff Model, FMJ",038,038
KQ2364,Primary (2nd assignments),Excl,Norm,HiRepro,NonMatch,KQ2364,KQ,3,4,4,B,,A:B,G,,G,20190415B_4,,,"Same Model, Diff Sess, JHP",038,038
KQ2364,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2364,KQ,3,4,4,B,,A:B,G,,G,20190415B_4,,,"Same Model, Diff Sess, JHP",038,038
KQ2366,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2366,KQ,3,3,3,A,,A:A,P,,P,20190508L_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ2616,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2616,KQ,3,3,3,A,,A:A,P,,P,20190416D_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ2623,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2623,KQ,3,3,3,A,,A:A,P,,P,20190412J_3,,,"Diff Make, FMJ",038,038
KQ2888,Primary (Baseline),ID,Diff,LowRepro,Match,KQ2888,KQ,3,3,3,B,,A:B,G,,G,20190621M_4,30.0,48.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ2924,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2924,KQ,3,3,3,A,,A:A,P,,P,20190621J_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3188,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3188,KQ,4,4,4,A,,A:A,P,,P,20190117A_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3325,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ3325,KQ,3,3,3,B,,A:B,G,,G,20190501L_3,,,"Same Model, Diff Sess, JHP",040,040
KQ3329,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3329,KQ,3,3,3,A,,A:A,P,,P,20190621Q_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ3437,Primary (Baseline),Insuff,Norm,HiRepro,Inconclusive,KQ3437,KQ,3,3,3,D,,A:D,U,,U,20190416G_1,,,"Same Model, Diff Sess, FMJ, Poor quality",038,038
KQ3652,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3652,KQ,3,4,4,A,,A:A,P,,P,20190404B_0,40.0,58.0,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3681,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ3681,KQ,3,3,3,A,,A:A,P,,P,20190508D_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3683,Primary (2nd assignments),Excl,Norm,HiRepro,NonMatch,KQ3683,KQ,3,4,4,A,,A:A,P,,P,20190415N_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ3683,Primary (Baseline),Excl,Diff,ModRepro,NonMatch,KQ3683,KQ,3,4,4,A,,A:A,P,,P,20190415N_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ3735,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ3735,KQ,3,3,3,C,,A:C,G,,G,20190618P_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3868,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3868,KQ,3,3,3,B,,A:B,G,,G,20190501C_1,,,"Diff Make, JHP",038,038
KQ4006,Primary (Baseline),LeanExcl,Diff,ModRepro,NonMatch,KQ4006,KQ,4,4,4,A,,A:A,P,,P,20190621J_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4024,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4024,KQ,3,3,3,B,,A:B,G,,G,20190618H_0,40.0,58.0,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4034,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4034,KQ,4,4,4,C,,A:C,G,,G,20190621W_2,,,"Same Model, Diff Sess, JHP, Poor quality",9ML,9ML
KQ4228,Primary (Baseline),Excl,VEasy,ModRepro,NonMatch,KQ4228,KQ,3,3,3,B,,A:B,B,,B,20190507K_1,,,"Diff Make, JHP",040,040
KQ4252,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4252,KQ,3,4,4,B,,A:B,G,,G,20190416H_3,,,"Diff Model, FMJ",038,038
KQ4362,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4362,KQ,3,3,3,D,,A:D,U,,U,20190313B_2,40.0,58.0,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ4381,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4381,KQ,4,4,4,C,,A:C,B,,B,20190404C_1,0.0,18.0,"Same Model, Same Sess, JHP, Poor quality",9ML,9ML
KQ4391,Primary (2nd assignments),Excl,Norm,ModRepro,NonMatch,KQ4391,KQ,3,4,4,A,,A:A,P,,P,20190507O_2,,,"Diff Model, JHP",9ML,9ML
KQ4391,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ4391,KQ,3,4,4,A,,A:A,P,,P,20190507O_2,,,"Diff Model, JHP",9ML,9ML
KQ4474,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ4474,KQ,3,3,3,A,,A:A,P,,P,20190621Q_4,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4628,Primary (2nd assignments),Excl,Norm,HiRepro,NonMatch,KQ4628,KQ,3,4,4,B,,A:B,G,,G,20190412E_2,,,"Diff Model, JHP",038,038
KQ4628,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4628,KQ,3,4,4,B,,A:B,G,,G,20190412E_2,,,"Diff Model, JHP",038,038
KQ4769,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4769,KQ,3,3,3,B,,A:B,G,,G,20190508G_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4845,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4845,KQ,3,4,4,B,,A:B,G,,G,20190618D_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1043,Primary (Baseline),ID,VEasy,HiRepro,Match,KQ1043,KQ,3,3,3,B,,A:B,G,,G,20190618I_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1084,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1084,KQ,3,3,3,C,,A:C,G,,G,20190501G_0,,,"Diff Model, FMJ",038,038
KQ1135,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1135,KQ,4,4,4,B,,A:B,G,,G,20190501Q_4,20.0,38.0,"Same Model, Same Sess, FMJ",040,040
KQ1316,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ1316,KQ,3,3,3,B,,A:B,G,,G,20190416C_3,,,"Same Model, Diff Sess, JHP",038,038
KQ1519,Primary (Baseline),LeanID,Diff,LowRepro,Match,KQ1519,KQ,3,3,3,B,,A:B,G,,G,20190507D_1,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
KQ1692,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ1692,KQ,3,3,3,D,,A:D,U,,U,20190621P_0,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ1734,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ1734,KQ,3,3,3,A,,A:A,P,,P,20190508J_4,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1761,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1761,KQ,3,3,3,C,,A:C,B,,B,20190621D_1,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ1873,Primary (Baseline),ID,VEasy,HiRepro,Match,KQ1873,KQ,3,3,3,A,,A:A,P,,P,20190618F_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ2299,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2299,KQ,3,3,3,A,,A:A,P,,P,20190412Q_1,,,"Diff Model, FMJ",038,038
KQ2307,Primary (Baseline),ID,Easy,HiRepro,Match,KQ2307,KQ,3,3,3,D,,A:D,U,,U,20190313B_1,40.0,58.0,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ2354,Primary (Baseline),Excl,VEasy,ModRepro,NonMatch,KQ2354,KQ,3,3,3,A,,A:A,P,,P,20190507I_3,,,"Diff Make, JHP",040,040
KQ2564,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ2564,KQ,3,3,3,A,,A:A,P,,P,20190222A_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ2726,Primary (Baseline),Excl,VEasy,ModRepro,NonMatch,KQ2726,KQ,3,3,3,A,,A:A,P,,P,20190618P_0,,,"Diff Make, FMJ",9ML,9ML
KQ2915,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ2915,KQ,3,3,3,B,,A:B,G,,G,20190415F_1,,,"Diff Make, JHP",038,038
KQ3024,Primary (Baseline),ID,VEasy,HiRepro,Match,KQ3024,KQ,3,3,3,A,,A:A,P,,P,20190508G_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3188,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3188,KQ,4,4,4,A,,A:A,P,,P,20190117A_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3215,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ3215,KQ,3,3,3,B,,A:B,G,,G,20190320F_1,,,"Diff Make, JHP",9ML,9ML
KQ3241,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ3241,KQ,3,3,3,A,,A:A,P,,P,20190508N_4,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ3290,Primary (Baseline),LeanExcl,Diff,ModRepro,NonMatch,KQ3290,KQ,3,3,3,A,,A:A,G,,G,20190415I_2,,,"Diff Model, JHP",038,038
KQ3609,Primary (Baseline),LeanID,Diff,ModRepro,Match,KQ3609,KQ,3,3,3,B,,A:B,G,,G,20190415R_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ3653,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ3653,KQ,3,3,4,B,,A:B,G,,G,20190618S_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3775,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ3775,KQ,3,3,3,A,,A:A,P,,P,20190501R_2,,,"Same Model, Diff Sess, JHP",040,040
KQ3937,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3937,KQ,3,3,3,B,,A:B,G,,G,20190501F_0,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
KQ4006,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4006,KQ,4,4,4,A,,A:A,P,,P,20190621J_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4034,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ4034,KQ,4,4,4,C,,A:C,G,,G,20190621W_2,,,"Same Model, Diff Sess, JHP, Poor quality",9ML,9ML
KQ4037,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4037,KQ,3,3,3,B,,A:B,G,,G,20190621A_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4108,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4108,KQ,3,3,3,B,,A:B,G,,G,20190508C_2,,,"Diff Make, JHP",9ML,9ML
KQ4223,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ4223,KQ,3,3,3,C,,A:C,G,,G,20190412B_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ4381,Primary (Baseline),ID,Diff,ModRepro,Match,KQ4381,KQ,4,4,4,C,,A:C,B,,B,20190404C_1,0.0,18.0,"Same Model, Same Sess, JHP, Poor quality",9ML,9ML
KQ4403,Primary (Baseline),LeanID,Diff,ModRepro,Match,KQ4403,KQ,3,3,3,A,,A:A,P,,P,20190501P_0,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
KQ4458,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4458,KQ,3,3,3,C,,A:C,G,,G,20190621K_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4503,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4503,KQ,3,3,3,A,,A:A,P,,P,20190415O_3,,,"Same Model, Diff Sess, JHP",038,038
KQ4840,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4840,KQ,3,3,3,A,,A:A,P,,P,20190508O_1,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ4884,Primary (Baseline),Insuff,Diff,ModRepro,Inconclusive,KQ4884,KQ,3,3,3,B,,A:B,G,,G,20190501M_1,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
KQ1234,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1234,KQ,3,3,3,B,,A:B,G,,G,20190507E_4,,,"Same Model, Diff Sess, FMJ",040,040
KQ1372,Primary (Baseline),ID,Norm,ModRepro,Match,KQ1372,KQ,2,2,2,A,,A:A,P,,P,20190415H_0,40.0,58.0,"Same Model, Diff Sess, FMJ",038,038
KQ1404,Primary (Baseline),LeanID,Norm,LowRepro,Match,KQ1404,KQ,1,1,3,A,,A:A,P,,P,20190508R_0,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1855,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1855,KQ,3,3,3,A,,A:A,P,,P,20190508R_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ1889,Primary (Baseline),Excl,Easy,HiRepro,NonMatch,KQ1889,KQ,3,3,3,A,,A:A,P,,P,20190320D_1,,,"Diff Make, FMJ",9ML,9ML
KQ1892,Primary (Baseline),LeanID,Norm,HiRepro,Match,KQ1892,KQ,1,1,3,C,,A:C,G,,G,20190508G_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2110,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2110,KQ,3,3,3,B,,A:B,G,,G,20190415H_2,,,"Diff Make, FMJ",038,038
KQ2250,Primary (Baseline),Excl,VEasy,HiRepro,NonMatch,KQ2250,KQ,1,1,1,B,,A:B,G,,G,20190501J_3,,,"Diff Make, FMJ",040,040
KQ2280,Primary (Baseline),LeanID,Norm,ModRepro,Match,KQ2280,KQ,3,3,3,C,,A:C,B,,B,20190501R_0,,,"Same Model, Diff Sess, JHP, Poor quality",040,040
KQ2296,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2296,KQ,3,3,3,A,,A:A,P,,P,20190415H_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ2298,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2298,KQ,3,3,3,B,,A:B,G,,G,20190501I_1,,,"Diff Model, JHP",038,038
KQ2302,Primary (Baseline),Excl,VEasy,LowRepro,NonMatch,KQ2302,KQ,3,3,3,C,,A:C,G,,G,20190621D_1,,,"Diff Make, FMJ",9ML,9ML
KQ2593,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2593,KQ,3,3,3,B,,A:B,G,,G,20190507H_4,,,"Same Model, Diff Sess, JHP",040,040
KQ2888,Primary (Baseline),ID,Norm,HiRepro,Match,KQ2888,KQ,3,3,3,B,,A:B,G,,G,20190621M_4,30.0,48.0,"Same Model, Same Sess, FMJ",9ML,9ML
KQ2986,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2986,KQ,3,3,3,A,,A:A,P,,P,20190412G_1,,,"Diff Model, FMJ",038,038
